text-filter,pos_tags,affordance_y,words,stemmed_words,stem_no_stop,cluster,pos_list,tag_cluster
N8 is able to play all sorts of vdo file formats,"['NNP', 'VBZ', 'JJ', 'TO', 'VB', 'DT', 'NNS', 'IN', 'NN', 'NN', 'NNS']",Video feature,"['N8', 'is', 'able', 'to', 'play', 'all', 'sorts', 'of', 'vdo', 'file', 'formats']","['N8', 'is', 'abl', 'to', 'play', 'all', 'sort', 'of', 'vdo', 'file', 'format']","['N8', 'abl', 'play', 'sort', 'vdo', 'file', 'format']",2,NNP VBZ JJ TO VB DT NNS IN NN NN NNS,3
"Nokia would address the bugs over time, but 8 months later (and over a year after it was released), and I am still fighting with this device.","['NNP', 'MD', 'VB', 'DT', 'NNS', 'IN', 'NN', ',', 'CC', 'CD', 'NNS', 'RB', '(', 'CC', 'IN', 'DT', 'NN', 'IN', 'PRP', 'VBD', 'VBN', ')', ',', 'CC', 'PRP', 'VBP', 'RB', 'VBG', 'IN', 'DT', 'NN', '.']",Maintenance #missing,"['Nokia', 'would', 'address', 'the', 'bugs', 'over', 'time', ',', 'but', '8', 'months', 'later', '(', 'and', 'over', 'a', 'year', 'after', 'it', 'was', 'released', ')', ',', 'and', 'I', 'am', 'still', 'fighting', 'with', 'this', 'device', '.']","['nokia', 'would', 'address', 'the', 'bug', 'over', 'time', ',', 'but', '8', 'month', 'later', '(', 'and', 'over', 'a', 'year', 'after', 'it', 'wa', 'releas', ')', ',', 'and', 'I', 'am', 'still', 'fight', 'with', 'thi', 'devic', '.']","['nokia', 'would', 'address', 'bug', 'time', ',', '8', 'month', 'later', '(', 'year', 'wa', 'releas', ')', ',', 'I', 'still', 'fight', 'thi', 'devic', '.']",2,"NNP MD VB DT NNS IN NN , CC CD NNS RB ( CC IN DT NN IN PRP VBD VBN ) , CC PRP VBP RB VBG IN DT NN .",1
most hackable platform around,"['RBS', 'JJ', 'NN', 'IN']",cybersecurity #missing,"['most', 'hackable', 'platform', 'around']","['most', 'hackabl', 'platform', 'around']","['hackabl', 'platform', 'around']",2,RBS JJ NN IN,0
Now I rate this 2/5 given that the battery life has been dropping more since I tried to increase it.,"['RB', 'PRP', 'NN', 'DT', 'CD', 'VBN', 'IN', 'DT', 'NN', 'NN', 'VBZ', 'VBN', 'VBG', 'RBR', 'IN', 'PRP', 'VBD', 'TO', 'VB', 'PRP', '.']",battery life #missing,"['Now', 'I', 'rate', 'this', '2/5', 'given', 'that', 'the', 'battery', 'life', 'has', 'been', 'dropping', 'more', 'since', 'I', 'tried', 'to', 'increase', 'it', '.']","['now', 'I', 'rate', 'thi', '2/5', 'given', 'that', 'the', 'batteri', 'life', 'ha', 'been', 'drop', 'more', 'sinc', 'I', 'tri', 'to', 'increas', 'it', '.']","['I', 'rate', 'thi', '2/5', 'given', 'batteri', 'life', 'ha', 'drop', 'sinc', 'I', 'tri', 'increas', '.']",2,RB PRP NN DT CD VBN IN DT NN NN VBZ VBN VBG RBR IN PRP VBD TO VB PRP .,1
"Nokia Music is similar to Pandora, but it does not use ads.","['NNP', 'NNP', 'VBZ', 'JJ', 'TO', 'NNP', ',', 'CC', 'PRP', 'VBZ', 'RB', 'VB', 'NNS', '.']",no ads,"['Nokia', 'Music', 'is', 'similar', 'to', 'Pandora', ',', 'but', 'it', 'does', 'not', 'use', 'ads', '.']","['nokia', 'music', 'is', 'similar', 'to', 'pandora', ',', 'but', 'it', 'doe', 'not', 'use', 'ad', '.']","['nokia', 'music', 'similar', 'pandora', ',', 'doe', 'use', 'ad', '.']",2,"NNP NNP VBZ JJ TO NNP , CC PRP VBZ RB VB NNS .",3
one more good option are HERE MAPS that come with free downloadable maps and navigation voice for the entire planet,"['CD', 'JJR', 'JJ', 'NN', 'VBP', 'NNP', 'NNP', 'IN', 'VBP', 'IN', 'JJ', 'JJ', 'NNS', 'CC', 'NN', 'NN', 'IN', 'DT', 'JJ', 'NN']",navigation,"['one', 'more', 'good', 'option', 'are', 'HERE', 'MAPS', 'that', 'come', 'with', 'free', 'downloadable', 'maps', 'and', 'navigation', 'voice', 'for', 'the', 'entire', 'planet']","['one', 'more', 'good', 'option', 'are', 'here', 'map', 'that', 'come', 'with', 'free', 'download', 'map', 'and', 'navig', 'voic', 'for', 'the', 'entir', 'planet']","['one', 'good', 'option', 'map', 'come', 'free', 'download', 'map', 'navig', 'voic', 'entir', 'planet']",2,CD JJR JJ NN VBP NNP NNP IN VBP IN JJ JJ NNS CC NN NN IN DT JJ NN,0
"enough space + networking + apps to easily get the images to photoshop, flickr etc.I was also pleasantly surprised by the media player and other features of the phone.","['JJ', 'NN', 'NNP', 'NN', 'NN', 'NN', 'TO', 'RB', 'VB', 'DT', 'NNS', 'TO', 'VB', ',', 'VB', 'NN', 'VBD', 'RB', 'RB', 'VBN', 'IN', 'DT', 'NNS', 'NN', 'CC', 'JJ', 'NNS', 'IN', 'DT', 'NN', '.']",media features,"['enough', 'space', '+', 'networking', '+', 'apps', 'to', 'easily', 'get', 'the', 'images', 'to', 'photoshop', ',', 'flickr', 'etc.I', 'was', 'also', 'pleasantly', 'surprised', 'by', 'the', 'media', 'player', 'and', 'other', 'features', 'of', 'the', 'phone', '.']","['enough', 'space', '+', 'network', '+', 'app', 'to', 'easili', 'get', 'the', 'imag', 'to', 'photoshop', ',', 'flickr', 'etc.i', 'wa', 'also', 'pleasantli', 'surpris', 'by', 'the', 'media', 'player', 'and', 'other', 'featur', 'of', 'the', 'phone', '.']","['enough', 'space', '+', 'network', '+', 'app', 'easili', 'get', 'imag', 'photoshop', ',', 'flickr', 'etc.i', 'wa', 'also', 'pleasantli', 'surpris', 'media', 'player', 'featur', 'phone', '.']",0,"JJ NN NNP NN NN NN TO RB VB DT NNS TO VB , VB NN VBD RB RB VBN IN DT NNS NN CC JJ NNS IN DT NN .",1
Look and feel of the phone make this phone a huge bargain for the price of the phone,"['NNP', 'CC', 'NN', 'IN', 'DT', 'NN', 'VBP', 'DT', 'NN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN']","design and affordability","['Look', 'and', 'feel', 'of', 'the', 'phone', 'make', 'this', 'phone', 'a', 'huge', 'bargain', 'for', 'the', 'price', 'of', 'the', 'phone']","['look', 'and', 'feel', 'of', 'the', 'phone', 'make', 'thi', 'phone', 'a', 'huge', 'bargain', 'for', 'the', 'price', 'of', 'the', 'phone']","['look', 'feel', 'phone', 'make', 'thi', 'phone', 'huge', 'bargain', 'price', 'phone']",0,NNP CC NN IN DT NN VBP DT NN DT JJ NN IN DT NN IN DT NN,2
The camera is amazing and takes fantastic pictures.,"['DT', 'NN', 'VBZ', 'JJ', 'CC', 'VBZ', 'JJ', 'NNS', '.']",camera,"['The', 'camera', 'is', 'amazing', 'and', 'takes', 'fantastic', 'pictures', '.']","['the', 'camera', 'is', 'amaz', 'and', 'take', 'fantast', 'pictur', '.']","['camera', 'amaz', 'take', 'fantast', 'pictur', '.']",2,DT NN VBZ JJ CC VBZ JJ NNS .,0
"the internet browsing, game playing are like 5 years behind the times","['DT', 'NN', 'NN', ',', 'NN', 'NN', 'VBP', 'IN', 'CD', 'NNS', 'IN', 'DT', 'NNS']","browsing and gaming #missing","['the', 'internet', 'browsing', ',', 'game', 'playing', 'are', 'like', '5', 'years', 'behind', 'the', 'times']","['the', 'internet', 'brows', ',', 'game', 'play', 'are', 'like', '5', 'year', 'behind', 'the', 'time']","['internet', 'brows', ',', 'game', 'play', 'like', '5', 'year', 'behind', 'time']",3,"DT NN NN , NN NN VBP IN CD NNS IN DT NNS",2
